,name,price,price_m2,m2,rooms,floor,map,url
0,"Sprzedam 38 m2, 2 pokoje Ochota , Baleya. Bezpośrednio.",449000,11815.79,38,2,3,"Warszawa, Ochota",https://www.olx.pl/d/oferta/sprzedam-38-m2-2-pokoje-ochota-baleya-bezposrednio-CID3-IDOxPtW.html#529fe8f04c;promoted
1,ENERGOOSZCZĘDNY segment z garażem i ogródkiem,829000,6051.09,137,4,Parter,"Warszawa, Białołęka",https://www.olx.pl/d/oferta/energooszczedny-segment-z-garazem-i-ogrodkiem-CID3-IDOzHaq.html#529fe8f04c;promoted
2,"Mieszkania Warszawa Ursynów 65m2 -115m2, ogródek, 2 miejsca postojowe.",599000,9215.38,65,3,Parter,"Warszawa, Ursynów",https://www.olx.pl/d/oferta/mieszkania-warszawa-ursynow-65m2-115m2-ogrodek-2-miejsca-postojowe-CID3-IDOoJy6.html#529fe8f04c;promoted
3,Wynajęta Kawalerka w Warszawie. Gotowiec ROI 5%. Pracująca Inwestycja.,335000,16750,20,1,Parter,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/wynajeta-kawalerka-w-warszawie-gotowiec-roi-5-pracujaca-inwestycja-CID3-IDON0SO.html#529fe8f04c;promoted
4,Do sprzedania idealne mieszkanie 39 m2 widok Plac Teatralny,749000,19205.13,39,1,8,"Warszawa, Śródmieście",https://www.olx.pl/d/oferta/do-sprzedania-idealne-mieszkanie-39-m2-widok-plac-teatralny-CID3-IDJH6EF.html#529fe8f04c
5,Kawalerka Praga Północ w przedwojennej kamienicy.,290000,12608.7,23,1,Parter,"Warszawa, Praga-Północ",https://www.olx.pl/d/oferta/kawalerka-praga-polnoc-w-przedwojennej-kamienicy-CID3-IDOYAXR.html#529fe8f04c
6,Super mieszkanie 2 pok Centrum Warszawy,499000,13131.58,38,2,4,"Warszawa, Śródmieście",https://www.olx.pl/d/oferta/super-mieszkanie-2-pok-centrum-warszawy-CID3-IDNFfbx.html#529fe8f04c
7,"Mieszkanie na Bielanach, gotowe do wprowadzenia",638000,11392.86,56,3,4,"Warszawa, Bielany",https://www.olx.pl/d/oferta/mieszkanie-na-bielanach-gotowe-do-wprowadzenia-CID3-IDNM424.html#529fe8f04c
8,Sprzedam mieszkanie 2 pokojowe nad Świdrem- Otwock,689000,11879.31,58,2,1,"Warszawa, Wawer",https://www.olx.pl/d/oferta/sprzedam-mieszkanie-2-pokojowe-nad-swidrem-otwock-CID3-IDOLSMh.html#529fe8f04c
9,Sprzedam mieszkanie bezpośrednio Warszawa Ochota 54m2,990000,18333.33,54,2,8,"Warszawa, Ochota",https://www.olx.pl/d/oferta/sprzedam-mieszkanie-bezposrednio-warszawa-ochota-54m2-CID3-IDOse16.html#529fe8f04c
10,Mieszkanie Skorosze dwupokojowe gotowe do zamieszkania bezpośrednio,596830,11998.99,49.74,2,5,"Warszawa, Ursus",https://www.olx.pl/d/oferta/mieszkanie-skorosze-dwupokojowe-gotowe-do-zamieszkania-bezposrednio-CID3-IDOwFOP.html#529fe8f04c
11,Gotowe mieszkanie kompletnie umeblowane  wraz z miejscem postojowym,550000,16712.25,32.91,2,5,"Warszawa, Ursus",https://www.olx.pl/d/oferta/gotowe-mieszkanie-kompletnie-umeblowane-wraz-z-miejscem-postojowym-CID3-IDOYzXV.html#529fe8f04c
12,Na sprzedaż wynajęte kawalerki Warszawa Praga Południe,525000,15000,35,1,4,"Warszawa, Praga-Południe",https://www.olx.pl/d/oferta/na-sprzedaz-wynajete-kawalerki-warszawa-praga-poludnie-CID3-IDJWjYA.html#529fe8f04c
13,Sprzedam mieszkanie Warszawa Targówek jako inwestycje,457000,16925.93,27,1,3,"Warszawa, Targówek",https://www.olx.pl/d/oferta/sprzedam-mieszkanie-warszawa-targowek-jako-inwestycje-CID3-IDKJdSC.html#529fe8f04c
14,Mieszkanie 67m przy metrze służew,1005000,15000,67,3,Parter,"Warszawa, Mokotów",https://www.olx.pl/d/oferta/mieszkanie-67m-przy-metrze-sluzew-CID3-IDOrjWJ.html#529fe8f04c
15,Mieszkanie 3/4 pokoje 78 m2 Warszawa Bemowo Wola metro komórka parking,979000,12575.47,77.85,3,4,"Warszawa, Bemowo",https://www.olx.pl/d/oferta/mieszkanie-3-4-pokoje-78-m2-warszawa-bemowo-wola-metro-komorka-parking-CID3-IDOPEXM.html#529fe8f04c
16,"Afrykańska, Saska Kępa, 2-pokojowe, 38 mkw, balkon",520000,13684.21,38,2,3,"Warszawa, Praga-Południe",https://www.olx.pl/d/oferta/afrykanska-saska-kepa-2-pokojowe-38-mkw-balkon-CID3-IDOQogB.html#529fe8f04c
17,Wapowskiego 6 - Gotowe mieszkanie po remoncie,619000,11462.96,54,3,1,"Warszawa, Ursus",https://www.olx.pl/d/oferta/wapowskiego-6-gotowe-mieszkanie-po-remoncie-CID3-IDOURzJ.html#529fe8f04c
18,"Strumykowa, mieszkanie dwupoziomowe, 108 mkw, atrakcyjna cena",640000,5936.92,107.80,4,3,"Warszawa, Białołęka",https://www.olx.pl/d/oferta/strumykowa-mieszkanie-dwupoziomowe-108-mkw-atrakcyjna-cena-CID3-IDOQnjQ.html#529fe8f04c
